hcp,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,hcp,tier,region,specialty
48831,488935,4383.30846735,47628.42806364411,50590.45542894009,204,5,326,3,52,48831,2,region_196,Internal medicine
48840,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,48840,2,region_131,General practicioner
48869,460276,9206.65557772,39050.252471103886,41542.62919406537,361,19,256,2,111,48869,2,region_121,Internal medicine
48915,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,48915,2,region_131,General practicioner
48935,472948,7588.07291017,38655.32133304526,40461.44956494922,335,11,264,1,64,48935,1,region_194,Internal medicine / pneumology
48945,479149,4959.219208320001,44052.47967412043,46484.08356658933,448,31,356,3,83,48945,3,region_123,General practicioner
48949,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,48949,1,region_135,Internal medicine / pneumology
48962,370839,1494.73248102,40379.71370238046,42361.48199891709,316,19,228,2,68,48962,1,region_175,Internal medicine / pneumology
48976,419601,2042.148938805,42777.12682057217,44543.12380541461,308,23,269,14,87,48976,1,region_177,Internal medicine / pneumology
48977,536856,6023.14589796,46261.88849114344,47134.19058620616,362,22,267,5,53,48977,1,region_132,Internal medicine / pneumology
48979,536856,6023.14589796,46261.88849114344,47134.19058620616,362,22,267,5,53,48979,1,region_132,Internal medicine / pneumology
48981,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,48981,2,region_49,Internal medicine
48982,301446,888.335822715,39077.1099989826,38103.09110635517,308,17,179,1,51,48982,1,region_128,Internal medicine / pneumology
48983,455048,6138.053380519999,45493.38136373606,47721.6925757523,235,5,299,1,43,48983,1,region_13,Internal medicine / pneumology
48999,333102,3186.47850519,43023.98283073583,44434.53943890139,279,15,245,1,80,48999,2,region_130,Internal medicine
49006,572787,7282.560235145,38782.59547119818,41215.29233979961,495,41,332,1,87,49006,1,region_179,Internal medicine / pneumology
49030,401064,6216.07241229,41073.71651472008,42863.373102084304,292,15,233,0,25,49030,1,region_145,Internal medicine / pneumology
49056,444131,2080.725707365,38062.92357872115,40061.84896582205,283,18,214,1,76,49056,1,region_159,Internal medicine / pneumology
49073,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,49073,1,region_135,Internal medicine / pneumology
49088,472021,3662.469830855,40478.19063539573,42274.36831661519,393,18,299,3,67,49088,1,region_185,Internal medicine / pneumology
49090,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,49090,1,region_94,Internal medicine / pneumology
49104,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,49104,2,region_110,Internal medicine
49115,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,49115,1,region_135,Internal medicine / pneumology
49147,365599,280.24859694500003,37134.16,37863.28,347,23,168,10,49,49147,1,region_34,Internal medicine / pneumology
49151,327674,499.70631512500006,43544.32603542337,46907.49509458998,202,9,212,1,48,49151,2,region_66,General practicioner
49172,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,49172,2,region_39,Internal medicine
49174,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,49174,2,region_39,General practicioner
49186,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,49186,2,region_6,General practicioner
49209,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,49209,2,region_54,Internal medicine
49245,526171,12386.29314317,38058.94303442134,39595.49276780699,379,16,264,0,64,49245,1,region_165,Internal medicine / pneumology
49255,506991,8524.200649455,36176.71069505399,38543.194751195326,400,24,342,0,90,49255,3,region_191,Internal medicine
49259,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,49259,2,region_110,General practicioner
49274,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,49274,2,region_6,General practicioner
49294,329314,438.710268375,37588.12322272532,39815.26132463675,422,17,188,1,126,49294,2,region_163,General practicioner
49306,344825,4037.238894875,41651.15403583042,43493.05408766624,177,7,181,3,37,49306,2,region_25,General practicioner
49325,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,49325,1,region_6,Internal medicine / pneumology
49335,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,49335,2,region_68,General practicioner
49354,335568,2855.78699663,46290.70308762525,48920.28136064841,173,8,206,1,38,49354,1,region_72,Internal medicine / pneumology
49360,335568,2855.78699663,46290.70308762525,48920.28136064841,173,8,206,1,38,49360,3,region_72,General practicioner
49366,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,49366,2,region_110,General practicioner
49380,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,49380,2,region_110,Internal medicine
49384,460276,9206.65557772,39050.252471103886,41542.62919406537,361,19,256,2,111,49384,2,region_121,General practicioner
49385,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,49385,2,region_94,Internal medicine
49395,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,49395,2,region_71,General practicioner
49408,311316,4469.15820453,41460.329717448665,43261.443759558446,174,4,230,7,44,49408,3,region_118,General practicioner
49415,304137,1761.98402793,57500.496969715896,62612.034029647366,100,3,186,3,42,49415,3,region_195,Internal medicine
49418,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,49418,3,region_106,General practicioner
49420,547068,6396.314308025,48518.205716833865,51052.264521926285,489,19,470,3,128,49420,1,region_127,Internal medicine / pneumology
49432,330868,216.65785405,44450.70293282685,48142.47639736822,270,8,150,0,36,49432,1,region_46,Internal medicine
49450,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,49450,3,region_106,General practicioner
49455,450441,5917.828732755001,43870.49217398428,44777.67571842571,294,6,287,6,62,49455,2,region_174,General practicioner
49496,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,49496,2,region_87,General practicioner
49549,425191,5807.495301645,44180.16732596442,45346.0694925717,257,22,272,3,66,49549,2,region_44,General practicioner
49556,378215,2413.69235525,44553.2197051116,46376.73492976648,247,8,237,7,41,49556,2,region_14,Internal medicine
49559,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,49559,1,region_49,Internal medicine / pneumology
49562,562766,7476.819147085001,39152.99916517007,41230.29230741945,308,9,264,2,72,49562,2,region_86,Internal medicine
49568,295192,1994.75115814,45774.88396917456,48219.296065151655,146,2,154,1,22,49568,2,region_58,Internal medicine
49579,482893,3898.254462595,38438.67922370908,40617.00756959213,246,17,234,1,54,49579,2,region_188,Internal medicine
49587,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,49587,2,region_49,General practicioner
49615,292659,252.698993475,41727.483461086485,44501.22628430059,334,16,167,1,67,49615,2,region_95,Internal medicine
49619,351807,495.716787085,41728.04162883929,42871.90103369104,221,16,175,2,68,49619,2,region_149,Internal medicine
49624,297082,360.80529598,44784.45632909552,45981.72217118941,382,17,204,7,118,49624,1,region_21,Internal medicine / pneumology
49634,487393,5189.376597045,46048.81926990849,47755.55739365009,220,9,349,2,49,49634,2,region_98,General practicioner
49635,471991,2823.6310998500003,48600.88212134568,50488.57174709858,197,6,265,1,57,49635,2,region_10,Internal medicine
49636,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,49636,2,region_131,General practicioner
49653,487393,5189.376597045,46048.81926990849,47755.55739365009,220,9,349,2,49,49653,1,region_98,Internal medicine / pneumology
49663,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,49663,2,region_87,Internal medicine
49671,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,49671,2,region_19,General practicioner
49678,465750,2220.64612097,46289.935955293055,48158.85416785588,227,13,194,1,40,49678,1,region_168,Internal medicine / pneumology
49681,479149,4959.219208320001,44052.47967412043,46484.08356658933,448,31,356,3,83,49681,1,region_123,Internal medicine / pneumology
49698,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,49698,2,region_88,General practicioner
49701,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,49701,2,region_198,General practicioner
49705,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,49705,2,region_6,General practicioner
49720,431383,4701.726213315,45377.70804101765,47137.854236937215,239,7,273,1,42,49720,2,region_1,Internal medicine
49738,455048,6138.053380519999,45493.38136373606,47721.6925757523,235,5,299,1,43,49738,2,region_13,General practicioner
49766,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,49766,2,region_33,General practicioner
49774,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,49774,1,region_140,Internal medicine / pneumology
49845,557796,5358.519268005,42148.23768011034,44225.43003055763,369,18,293,3,70,49845,2,region_115,Internal medicine
49866,472021,3662.469830855,40478.19063539573,42274.36831661519,393,18,299,3,67,49866,1,region_185,Internal medicine / pneumology
49876,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,49876,1,region_0,Internal medicine / pneumology
49892,346962,3955.87103625,46117.32468167189,47687.7855694166,269,12,277,1,51,49892,1,region_76,Internal medicine / pneumology
49919,325691,4155.27444025,37425.22727866324,39046.73439375503,262,7,182,0,46,49919,2,region_51,Internal medicine
49920,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,49920,2,region_39,Internal medicine / pneumology
49936,292659,252.698993475,41727.483461086485,44501.22628430059,334,16,167,1,67,49936,1,region_95,Internal medicine / pneumology
49939,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,49939,1,region_88,Internal medicine / pneumology
49944,421215,6568.02313485,36805.53716197213,38484.9273729109,192,6,251,1,69,49944,1,region_104,Internal medicine / pneumology
49948,324990,681.550024385,45163.973492282974,46181.14470036704,206,16,149,1,48,49948,2,region_20,Internal medicine / pneumology
49993,321059,484.212641435,36407.895986325166,38638.41764908357,206,20,209,1,52,49993,2,region_96,Internal medicine / pneumology
49995,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,49995,1,region_54,Internal medicine / pneumology
49998,338623,3775.89347241,37915.1170297293,40325.86556207184,147,7,168,1,48,49998,2,region_152,Internal medicine
50015,444131,2080.725707365,38062.92357872115,40061.84896582205,283,18,214,1,76,50015,2,region_159,General practicioner
50028,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,50028,1,region_45,Internal medicine
50046,543989,730.58755008,47906.89504039801,49401.83082252559,326,26,212,1,58,50046,1,region_142,Internal medicine / pneumology
50050,323802,3616.56527596,46597.28706520958,48817.61695765182,127,2,207,1,18,50050,2,region_112,General practicioner
50070,481340,433.493165915,47807.095737135656,48998.648530738246,576,26,302,3,223,50070,1,region_61,Internal medicine / pneumology
50075,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,50075,2,region_6,General practicioner
50092,421289,3113.32368869,35661.32746899459,37117.66933250681,351,25,283,0,96,50092,1,region_170,Internal medicine / pneumology
50115,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,50115,2,region_30,General practicioner
50143,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,50143,2,region_39,Internal medicine
50150,444131,2080.725707365,38062.92357872115,40061.84896582205,283,18,214,1,76,50150,2,region_159,General practicioner
50165,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,50165,2,region_9,General practicioner
50210,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,50210,2,region_30,General practicioner
50230,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,50230,2,region_30,General practicioner
50231,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,50231,2,region_9,Internal medicine
50234,327674,499.70631512500006,43544.32603542337,46907.49509458998,202,9,212,1,48,50234,1,region_66,Internal medicine / pneumology
50250,329314,438.710268375,37588.12322272532,39815.26132463675,422,17,188,1,126,50250,1,region_163,Internal medicine / pneumology
50284,440131,3287.587080525,43000.8336181825,44831.05120063922,190,3,268,4,42,50284,2,region_42,General practicioner
50285,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,50285,2,region_6,General practicioner
50296,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,50296,2,region_88,Internal medicine
50301,291996,4485.683167155,40837.74399667413,42974.12675684718,153,5,203,1,17,50301,1,region_186,Internal medicine / pneumology
50302,407943,451.9983656349999,38641.22388687272,41094.34746902544,510,40,246,3,137,50302,2,region_7,Internal medicine
50309,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,50309,1,region_150,Internal medicine / pneumology
50316,299023,2730.297744985,45032.26508563141,46906.03781300078,142,1,211,1,28,50316,2,region_81,General practicioner
50321,528663,1691.3326277750002,39725.23455626566,41274.97668028191,368,15,312,5,125,50321,1,region_157,Internal medicine / pneumology
50337,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,50337,2,region_52,General practicioner
50347,311176,1451.9225471349998,46882.56119251481,49424.95126548196,165,6,215,0,41,50347,3,region_31,Internal medicine
50348,366747,737.6994932800001,43490.30960874967,45949.49808402023,242,13,183,3,75,50348,2,region_160,General practicioner
50359,392442,1013.9402787699998,43137.67692133163,45189.593294747385,224,22,230,0,83,50359,1,region_23,Internal medicine / pneumology
50361,310970,1880.20151759,47511.92217428117,49662.107411031626,155,3,188,10,42,50361,2,region_183,General practicioner
50366,330895,1185.616592415,58016.33152284889,63253.82473784784,236,26,264,0,69,50366,3,region_134,General practicioner
50385,295511,5645.12303853,42196.62599068593,43880.94307631483,83,5,179,2,27,50385,2,region_28,General practicioner
50401,423341,154.47548644,38652.12994183328,41107.59671458673,340,15,243,3,71,50401,2,region_154,General practicioner
50402,423341,154.47548644,38652.12994183328,41107.59671458673,340,15,243,3,71,50402,2,region_154,General practicioner
50414,290982,433.42087367,45046.7489711906,47004.237201665805,141,7,157,2,56,50414,2,region_129,General practicioner
50418,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,50418,2,region_30,General practicioner
50455,355758,1820.593057845,43284.714982491285,44623.83197198605,260,11,178,2,40,50455,2,region_89,Internal medicine
50470,297909,1795.04534539,38958.80276287088,40349.164507190086,177,9,141,2,38,50470,2,region_77,General practicioner
50480,317306,2356.435878145,45486.02729761217,47191.59323256421,316,14,283,3,100,50480,1,region_148,Internal medicine / pneumology
50482,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,50482,2,region_39,Internal medicine
50503,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,50503,1,region_30,Internal medicine / pneumology
50526,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,50526,2,region_54,Internal medicine
50532,528663,1691.3326277750002,39725.23455626566,41274.97668028191,368,15,312,5,125,50532,2,region_157,Internal medicine
50549,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,50549,2,region_49,Internal medicine
50555,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,50555,2,region_45,General practicioner
50575,509797,475.28226476,38646.49331816121,41100.84413713749,351,20,244,1,64,50575,1,region_43,Internal medicine / pneumology
50589,318320,1343.252950395,38835.608064370106,40121.11202265365,179,10,134,2,48,50589,1,region_146,Internal medicine / pneumology
50610,471991,2823.6310998500003,48600.88212134568,50488.57174709858,197,6,265,1,57,50610,1,region_10,Internal medicine
50612,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,50612,3,region_106,Internal medicine
50668,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,50668,2,region_57,General practicioner
50680,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,50680,2,region_140,Internal medicine
50683,293343,407.8559437,40265.62161036467,42784.034367451575,164,10,182,1,48,50683,2,region_184,General practicioner
50701,325691,4155.27444025,37425.22727866324,39046.73439375503,262,7,182,0,46,50701,1,region_51,Internal medicine / pneumology
50702,407943,451.9983656349999,38641.22388687272,41094.34746902544,510,40,246,3,137,50702,2,region_7,General practicioner
50709,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,50709,2,region_69,General practicioner
50748,482893,3898.254462595,38438.67922370908,40617.00756959213,246,17,234,1,54,50748,1,region_188,Internal medicine / pneumology
50770,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,50770,2,region_33,Internal medicine
50788,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,50788,1,region_109,Internal medicine / pneumology
50790,297406,1285.352745595,47256.37179516038,49370.94623147627,227,6,193,1,120,50790,1,region_139,Internal medicine
50802,488935,4383.30846735,47628.42806364411,50590.45542894009,204,5,326,3,52,50802,1,region_196,Internal medicine / pneumology
50816,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,50816,2,region_33,Internal medicine
50834,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,50834,2,region_54,Internal medicine
50840,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,50840,2,region_33,General practicioner
50846,421289,3113.32368869,35661.32746899459,37117.66933250681,351,25,283,0,96,50846,2,region_170,General practicioner
50869,323575,111.643540105,58259.42127116629,63608.28150583796,314,13,221,2,46,50869,1,region_93,Internal medicine / pneumology
50893,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,50893,2,region_94,General practicioner
50903,365599,280.24859694500003,37134.16,37863.28,347,23,168,10,49,50903,1,region_34,Internal medicine / pneumology
50904,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,50904,2,region_94,General practicioner
50916,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,50916,1,region_68,Internal medicine / pneumology
50929,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,50929,2,region_110,Internal medicine
50942,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,50942,2,region_97,General practicioner
50955,338623,3775.89347241,37915.1170297293,40325.86556207184,147,7,168,1,48,50955,2,region_152,General practicioner
50959,368045,4153.030040835,41979.762597629495,43762.43536868884,153,6,179,3,47,50959,1,region_32,Internal medicine / pneumology
50967,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,50967,2,region_97,General practicioner
50981,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,50981,2,region_9,General practicioner
50988,444131,2080.725707365,38062.92357872115,40061.84896582205,283,18,214,1,76,50988,2,region_159,General practicioner
50990,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,50990,1,region_9,Internal medicine / pneumology
50994,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,50994,2,region_9,General practicioner
51056,325691,4155.27444025,37425.22727866324,39046.73439375503,262,7,182,0,46,51056,2,region_51,General practicioner
51084,416180,635.8645393950001,48679.89772605903,50346.953159936944,154,6,204,2,55,51084,2,region_193,Internal medicine
51089,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,51089,2,region_181,General practicioner
51092,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,51092,1,region_97,Internal medicine / pneumology
51114,389939,734.360995965,38701.53589836237,39721.16825216833,231,9,146,5,75,51114,2,region_92,Internal medicine
51124,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,51124,2,region_150,General practicioner
51149,301446,888.335822715,39077.1099989826,38103.09110635517,308,17,179,1,51,51149,1,region_128,Internal medicine / pneumology
51150,332380,507.6016706,42316.17861056367,43408.66203256296,164,11,169,4,59,51150,2,region_80,General practicioner
51165,332866,165.88248338,48733.12857084881,51093.07993379515,431,18,193,2,130,51165,2,region_164,General practicioner
51214,423341,154.47548644,38652.12994183328,41107.59671458673,340,15,243,3,71,51214,1,region_154,Internal medicine / pneumology
51239,485523,1064.39973606,45420.92701120138,46427.26521994213,306,12,251,3,86,51239,2,region_75,Internal medicine
51254,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,51254,2,region_198,Internal medicine
51255,366237,456.77740419,47846.72921976725,49044.24224184746,265,10,259,1,40,51255,1,region_59,Internal medicine / pneumology
51258,543989,730.58755008,47906.89504039801,49401.83082252559,326,26,212,1,58,51258,2,region_142,General practicioner
51269,394741,1285.75708184,40764.27991706653,41856.11769050817,445,22,237,5,112,51269,1,region_176,Internal medicine / pneumology
51292,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,51292,2,region_30,General practicioner
51312,341233,487.59933681,37386.11459218471,38418.87174140778,165,8,173,3,31,51312,2,region_22,General practicioner
51320,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,51320,2,region_198,General practicioner
51327,440131,3287.587080525,43000.8336181825,44831.05120063922,190,3,268,4,42,51327,1,region_42,Internal medicine / pneumology
51338,291799,674.3729127050001,43691.516939022775,45418.82096023784,192,22,141,1,39,51338,2,region_117,General practicioner
51347,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,51347,2,region_200,General practicioner
51348,297406,1285.352745595,47256.37179516038,49370.94623147627,227,6,193,1,120,51348,1,region_139,Internal medicine / pneumology
51350,422929,2001.77212193,45812.70908571203,48057.04003321169,176,19,284,2,52,51350,1,region_153,Internal medicine / pneumology
51351,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,51351,2,region_198,General practicioner
51415,325691,4155.27444025,37425.22727866324,39046.73439375503,262,7,182,0,46,51415,1,region_51,Internal medicine
51420,488935,4383.30846735,47628.42806364411,50590.45542894009,204,5,326,3,52,51420,1,region_196,Internal medicine
51457,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,51457,2,region_109,Internal medicine
51464,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,51464,2,region_33,General practicioner
51474,572787,7282.560235145,38782.59547119818,41215.29233979961,495,41,332,1,87,51474,1,region_179,Internal medicine / pneumology
51500,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,51500,1,region_57,Internal medicine / pneumology
51516,324074,2196.24323518,56253.7171850507,60786.66378406008,128,3,218,2,30,51516,3,region_166,General practicioner
51526,438812,3146.3784008,44722.13582179362,46805.33051359303,324,5,307,3,102,51526,2,region_111,General practicioner
51527,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,51527,2,region_45,General practicioner
51538,323713,3780.938178465,45305.47325376525,47016.396650179406,155,6,227,7,29,51538,1,region_82,Internal medicine / pneumology
51540,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,51540,3,region_109,General practicioner
51546,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,51546,2,region_131,General practicioner
51566,380484,2415.408229765,40940.71013933051,42379.71159997592,181,16,170,11,39,51566,1,region_162,Internal medicine
51570,332866,165.88248338,48733.12857084881,51093.07993379515,431,18,193,2,130,51570,1,region_164,General practicioner
51595,412758,262.50533,33646.83741609315,34253.270249104906,259,22,169,1,94,51595,1,region_35,Internal medicine / pneumology
51607,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,51607,3,region_131,General practicioner
51618,450441,5917.828732755001,43870.49217398428,44777.67571842571,294,6,287,6,62,51618,1,region_174,Internal medicine / pneumology
51629,332784,325.459701525,43045.78196627924,44697.41197536814,241,13,169,2,60,51629,2,region_158,Internal medicine
51644,323713,3780.938178465,45305.47325376525,47016.396650179406,155,6,227,7,29,51644,2,region_82,Internal medicine
51666,473457,8718.030077984999,36758.69272740207,38772.71331839056,276,26,251,2,67,51666,1,region_189,Internal medicine
51668,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,51668,1,region_33,Internal medicine / pneumology
51674,338623,3775.89347241,37915.1170297293,40325.86556207184,147,7,168,1,48,51674,2,region_152,Internal medicine
51678,447074,2817.953165215,46686.223972057545,47929.49398845733,352,31,277,8,89,51678,1,region_90,Internal medicine / pneumology
51693,465881,532.19959025,43364.96745908977,46659.57821612824,389,25,293,1,130,51693,1,region_108,Internal medicine / pneumology
51711,421289,3113.32368869,35661.32746899459,37117.66933250681,351,25,283,0,96,51711,1,region_170,Internal medicine / pneumology
51716,308168,3160.04204693,41187.7235264384,42671.80736288608,193,8,182,8,55,51716,2,region_74,Internal medicine
51752,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,51752,2,region_57,General practicioner
51779,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,51779,2,region_200,Internal medicine
51827,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,51827,2,region_33,General practicioner
51861,485523,1064.39973606,45420.92701120138,46427.26521994213,306,12,251,3,86,51861,2,region_75,General practicioner
51899,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,51899,2,region_33,General practicioner
51919,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,51919,2,region_33,General practicioner
51921,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,51921,2,region_33,General practicioner
51953,330868,216.65785405,44450.70293282685,48142.47639736822,270,8,150,0,36,51953,3,region_46,General practicioner
51970,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,51970,2,region_33,General practicioner
52000,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,52000,2,region_181,General practicioner
52011,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,52011,1,region_106,Internal medicine / pneumology
52048,283879,1942.08355011,40082.98302330007,39900.71505628525,157,5,180,2,31,52048,1,region_100,Internal medicine / pneumology
52064,378215,2413.69235525,44553.2197051116,46376.73492976648,247,8,237,7,41,52064,1,region_14,Internal medicine
52084,295511,5645.12303853,42196.62599068593,43880.94307631483,83,5,179,2,27,52084,2,region_28,Internal medicine
52101,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,52101,2,region_52,General practicioner
52115,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,52115,2,region_88,Internal medicine
52116,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,52116,3,region_106,General practicioner
52121,301446,888.335822715,39077.1099989826,38103.09110635517,308,17,179,1,51,52121,2,region_128,Internal medicine
52200,400723,2105.438750675,43428.46785897859,44575.5590026938,185,12,180,5,37,52200,2,region_16,Internal medicine
52236,389939,734.360995965,38701.53589836237,39721.16825216833,231,9,146,5,75,52236,2,region_92,General practicioner
52241,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,52241,2,region_200,Internal medicine and general practicioner
52248,536856,6023.14589796,46261.88849114344,47134.19058620616,362,22,267,5,53,52248,1,region_132,Internal medicine / pneumology
52262,295192,1994.75115814,45774.88396917456,48219.296065151655,146,2,154,1,22,52262,2,region_58,General practicioner
52271,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,52271,2,region_30,Internal medicine
52275,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,52275,3,region_109,Internal medicine
52283,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,52283,2,region_52,General practicioner
52288,286939,914.55639262,43716.546012520776,44944.29185447118,205,5,129,1,30,52288,2,region_99,Internal medicine
52299,351807,495.716787085,41728.04162883929,42871.90103369104,221,16,175,2,68,52299,2,region_149,General practicioner
52300,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,52300,2,region_0,General practicioner
52307,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,52307,2,region_200,General practicioner
52315,329314,438.710268375,37588.12322272532,39815.26132463675,422,17,188,1,126,52315,1,region_163,Internal medicine / pneumology
52323,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,52323,1,region_39,Internal medicine / pneumology
